"","x"
"1",2
"2",2
"3",2
"4",1
"5",2
"6",2
"7",2
"8",2
"9",2
"10",2
"11",2
"12",2
"13",1
"14",1
"15",1
"16",2
"17",2
"18",1
"19",1
"20",2
"21",2
"22",2
"23",1
"24",1
"25",2
"26",1
"27",2
"28",1
"29",2
"30",2
"31",1
"32",2
"33",2
"34",1
"35",1
"36",2
"37",2
"38",1
"39",1
"40",2
"41",1
"42",2
"43",1
"44",1
"45",2
"46",1
"47",2
"48",2
"49",1
"50",1
"51",1
"52",2
"53",1
"54",1
"55",2
"56",2
"57",2
"58",1
"59",1
"60",1
"61",1
"62",2
"63",1
"64",2
"65",2
"66",1
"67",2
"68",2
"69",2
"70",2
"71",1
"72",2
"73",1
"74",1
"75",1
"76",2
"77",1
"78",2
"79",2
"80",1
"81",2
"82",1
"83",1
"84",1
"85",2
"86",2
"87",1
"88",1
"89",1
"90",1
"91",2
"92",2
"93",2
"94",1
"95",2
"96",1
"97",2
"98",1
"99",2
"100",1
"101",2
"102",2
"103",2
"104",2
"105",2
"106",2
"107",2
"108",1
"109",1
"110",2
"111",2
"112",1
"113",1
"114",2
"115",2
"116",2
"117",2
"118",1
"119",1
"120",2
"121",2
"122",2
"123",2
"124",1
"125",1
"126",2
"127",2
"128",2
"129",1
"130",2
"131",1
"132",2
"133",2
"134",2
"135",2
"136",2
"137",1
"138",2
"139",2
"140",1
"141",2
"142",2
"143",1
"144",2
"145",1
"146",2
"147",2
"148",2
"149",2
"150",2
"151",2
"152",1
"153",1
"154",2
"155",2
"156",1
"157",2
"158",2
"159",2
"160",2
"161",1
"162",1
"163",2
"164",2
"165",2
"166",1
"167",2
"168",1
"169",1
"170",1
"171",2
"172",1
"173",2
"174",1
"175",1
"176",1
"177",2
"178",2
"179",2
"180",1
"181",1
"182",1
"183",2
"184",1
"185",1
"186",2
"187",1
"188",2
"189",1
"190",1
"191",2
"192",1
"193",2
"194",2
"195",1
"196",1
"197",1
"198",1
"199",2
"200",2
"201",2
"202",1
"203",1
"204",1
"205",1
"206",2
"207",2
"208",1
"209",2
"210",2
"211",1
"212",1
"213",1
"214",1
