"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1,1,1,0,1,1,1,0,0,0
"2",1,1,1,1,1,1,1,0,0,1
"3",1,0,0,0,1,0,0,0,0,0
"4",0,1,1,0,1,1,1,1,1,1
"5",1,1,1,0,1,1,0,0,0,0
"6",1,1,1,0,0,0,0,1,0,0
"7",1,1,1,1,0,0,0,0,0,0
"8",1,1,1,1,1,1,1,0,1,1
"9",1,0,0,0,0,0,0,0,0,0
"10",1,1,1,0,0,0,0,0,0,0
"11",1,1,1,1,1,0,0,1,0,0
"12",1,1,1,0,1,1,0,0,0,0
"13",0,0,0,1,0,0,1,1,0,1
"14",0,0,0,1,0,1,1,0,1,1
"15",1,1,0,1,1,1,1,0,1,1
"16",1,1,0,0,1,0,1,0,0,0
"17",1,1,1,1,1,0,0,0,0,0
"18",1,0,1,1,0,1,1,1,1,1
"19",1,0,0,0,0,1,1,1,1,1
"20",1,1,1,1,1,1,1,1,1,0
"21",1,1,0,0,0,0,0,0,0,0
"22",1,1,1,1,1,0,1,0,0,0
"23",0,0,1,1,1,1,1,1,1,1
"24",0,0,0,1,1,1,1,1,1,1
"25",1,1,1,1,1,1,1,1,1,0
"26",0,0,0,0,0,0,1,0,0,1
"27",1,1,1,1,1,0,0,0,1,0
"28",0,0,1,1,1,1,1,1,1,1
"29",1,1,1,1,1,1,0,1,1,1
"30",1,1,0,1,0,0,0,0,0,0
"31",0,0,0,0,1,1,1,1,1,1
"32",1,1,1,1,0,0,0,1,0,0
"33",1,0,0,0,0,0,0,0,0,0
"34",0,0,0,0,0,0,0,0,1,1
"35",0,0,0,0,0,0,0,1,0,0
"36",1,1,1,1,1,1,1,0,1,1
"37",1,1,0,1,0,0,0,0,0,0
"38",0,0,1,0,1,0,1,1,1,1
"39",0,0,1,1,1,1,1,1,1,1
"40",0,1,0,0,0,0,1,0,0,0
"41",0,1,0,0,1,0,0,0,1,1
"42",1,1,1,1,1,1,1,0,1,0
"43",0,1,1,1,0,1,1,1,1,1
"44",0,0,0,0,1,0,1,1,1,1
"45",1,1,0,1,0,0,0,1,0,0
"46",0,0,0,0,0,0,1,1,1,0
"47",1,0,0,1,0,0,0,0,0,0
"48",1,1,0,1,1,0,0,0,0,0
"49",1,1,1,1,1,1,0,1,1,1
"50",0,0,0,0,0,0,0,0,1,1
"51",0,0,0,0,0,0,0,1,1,1
"52",0,0,1,1,0,0,0,0,0,0
"53",1,1,1,1,0,1,1,1,1,1
"54",0,0,1,0,0,0,1,1,1,0
"55",1,1,1,1,1,1,1,0,0,0
"56",1,1,1,1,1,0,1,1,1,0
"57",1,1,1,0,0,0,0,1,0,0
"58",0,0,0,1,1,1,1,1,1,1
"59",0,0,0,1,1,1,1,1,1,1
"60",0,1,1,1,1,1,1,1,1,1
"61",0,0,0,0,0,0,1,1,1,1
"62",1,1,0,1,0,0,0,0,0,0
"63",0,0,0,1,0,1,1,1,1,1
"64",1,1,1,0,1,0,1,0,1,0
"65",1,1,1,1,0,0,0,1,1,0
"66",0,0,0,0,0,0,0,1,0,1
"67",0,1,0,1,0,1,0,0,0,0
"68",1,0,1,1,1,0,0,0,1,0
"69",1,1,1,1,1,1,0,1,1,1
"70",1,1,1,1,1,0,0,0,1,0
"71",0,0,0,0,1,0,0,1,1,1
"72",1,0,0,1,0,0,0,0,0,0
"73",0,0,0,0,0,1,1,0,0,0
"74",0,0,0,0,0,0,1,1,1,1
"75",1,0,1,1,0,1,1,1,1,1
"76",0,1,0,0,0,0,0,0,0,0
"77",0,0,0,0,1,0,0,1,0,0
"78",1,0,0,0,0,0,0,0,0,0
"79",1,1,1,1,0,0,0,0,0,0
"80",0,0,0,1,0,0,0,0,0,1
"81",1,1,1,1,1,1,1,1,0,1
"82",0,0,0,0,0,1,1,1,1,1
"83",0,0,0,0,0,0,1,0,0,0
"84",0,0,0,0,0,0,0,1,1,0
"85",1,1,1,1,0,1,0,0,0,0
"86",1,1,0,1,0,0,1,0,0,0
"87",0,0,0,0,0,0,0,0,0,1
"88",0,0,0,1,0,0,1,1,1,1
"89",0,0,0,1,0,1,0,1,1,1
"90",0,0,0,0,1,0,0,0,0,0
"91",1,1,1,0,1,1,0,1,0,0
"92",1,1,1,0,0,0,0,0,0,1
"93",1,0,0,0,1,1,0,0,0,0
"94",0,0,0,0,0,0,0,0,0,1
"95",0,1,0,0,0,0,0,0,0,0
"96",0,0,0,0,0,1,0,1,1,1
"97",1,0,0,0,0,0,0,0,0,0
"98",0,0,0,0,0,1,0,0,1,1
"99",1,1,1,1,1,0,0,1,0,0
"100",0,0,0,0,0,1,1,1,1,1
