"","x"
"1",0.9
"2",0.9
"3",-0.9
"4",2.7
"5",-0.9
"6",-0.9
"7",-0.9
"8",2.7
"9",-2.7
"10",-0.9
"11",0.9
"12",-0.9
"13",-0.9
"14",0.9
"15",2.7
"16",-0.9
"17",0.9
"18",0.9
"19",0.9
"20",2.7
"21",-2.7
"22",0.9
"23",0.9
"24",0.9
"25",2.7
"26",-0.9
"27",0.9
"28",2.7
"29",2.7
"30",-0.9
"31",0.9
"32",0.9
"33",-2.7
"34",-0.9
"35",-2.7
"36",2.7
"37",-2.7
"38",0.9
"39",2.7
"40",-0.9
"41",-0.9
"42",0.9
"43",2.7
"44",-0.9
"45",-0.9
"46",-0.9
"47",-0.9
"48",0.9
"49",2.7
"50",-0.9
"51",-0.9
"52",-2.7
"53",2.7
"54",-2.7
"55",2.7
"56",0.9
"57",-0.9
"58",0.9
"59",0.9
"60",2.7
"61",-0.9
"62",-2.7
"63",0.9
"64",0.9
"65",0.9
"66",-2.7
"67",-0.9
"68",-0.9
"69",2.7
"70",0.9
"71",-0.9
"72",-0.9
"73",-2.7
"74",-0.9
"75",2.7
"76",-2.7
"77",-2.7
"78",-2.7
"79",-0.9
"80",-0.9
"81",2.7
"82",-0.9
"83",-2.7
"84",-2.7
"85",0.9
"86",-0.9
"87",-2.7
"88",-0.9
"89",0.9
"90",-2.7
"91",0.9
"92",-0.9
"93",-0.9
"94",-2.7
"95",-2.7
"96",-0.9
"97",-2.7
"98",-0.9
"99",0.9
"100",0.9
"101",-2.7
"102",0.9
"103",-0.9
"104",-0.9
"105",2.7
"106",-0.9
"107",2.7
"108",2.7
"109",2.7
"110",2.7
"111",2.7
"112",0.9
"113",2.7
"114",-0.9
"115",2.7
"116",-0.9
"117",2.7
"118",0.9
"119",-0.9
"120",-0.9
"121",2.7
"122",-0.9
"123",-0.9
"124",0.9
"125",2.7
"126",0.9
"127",-0.9
"128",0.9
"129",-0.9
"130",-2.7
"131",0.9
"132",2.7
"133",0.9
"134",-2.7
"135",0.9
"136",-0.9
"137",-2.7
"138",-2.7
"139",0.9
"140",-2.7
"141",-2.7
"142",0.9
"143",-2.7
"144",-0.9
"145",0.9
"146",0.9
"147",0.9
"148",-0.9
"149",-2.7
"150",0.9
"151",2.7
"152",0.9
"153",-2.7
"154",2.7
"155",2.7
"156",2.7
"157",-0.9
"158",-2.7
"159",-2.7
"160",-0.9
"161",-0.9
"162",-0.9
"163",-0.9
"164",-0.9
"165",0.9
"166",2.7
"167",-0.9
"168",-2.7
"169",2.7
"170",-0.9
"171",-0.9
"172",0.9
"173",0.9
"174",0.9
"175",2.7
"176",-0.9
"177",-0.9
"178",0.9
"179",-0.9
"180",-2.7
"181",0.9
"182",-2.7
"183",-0.9
"184",0.9
"185",0.9
"186",-2.7
"187",-2.7
"188",0.9
"189",0.9
"190",2.7
"191",-0.9
"192",0.9
"193",-2.7
"194",0.9
"195",-2.7
"196",0.9
"197",-2.7
"198",-2.7
"199",-0.9
"200",2.7
"201",-2.7
"202",-2.7
"203",-2.7
"204",2.7
"205",2.7
"206",-0.9
"207",-0.9
"208",-2.7
"209",-2.7
"210",2.7
"211",-2.7
"212",0.9
"213",-2.7
"214",0.9
"215",0.9
"216",-2.7
"217",-2.7
"218",-0.9
"219",-0.9
"220",-2.7
"221",-2.7
"222",2.7
"223",2.7
"224",-2.7
"225",2.7
"226",-2.7
"227",0.9
"228",2.7
"229",-2.7
"230",0.9
"231",0.9
"232",-2.7
"233",2.7
"234",-0.9
"235",2.7
"236",0.9
"237",2.7
"238",-2.7
"239",2.7
"240",-2.7
"241",0.9
"242",-2.7
"243",-0.9
"244",2.7
"245",2.7
"246",-0.9
"247",-0.9
"248",-0.9
"249",0.9
"250",0.9
"251",-2.7
"252",-0.9
"253",-0.9
"254",2.7
"255",-2.7
"256",2.7
"257",-0.9
"258",-0.9
"259",0.9
"260",0.9
"261",-2.7
"262",-0.9
"263",-2.7
"264",-0.9
"265",0.9
"266",-2.7
"267",-0.9
"268",0.9
"269",0.9
"270",-0.9
"271",2.7
"272",-0.9
"273",2.7
"274",2.7
"275",-2.7
"276",-2.7
"277",-2.7
"278",2.7
"279",-2.7
"280",-0.9
"281",0.9
"282",-2.7
"283",0.9
"284",-0.9
"285",0.9
"286",-2.7
"287",-2.7
"288",-0.9
"289",0.9
"290",-2.7
"291",2.7
"292",2.7
"293",0.9
"294",2.7
"295",-0.9
"296",-2.7
"297",-2.7
"298",-0.9
"299",0.9
"300",-0.9
"301",-0.9
"302",2.7
"303",2.7
"304",2.7
"305",-2.7
"306",-2.7
"307",2.7
"308",2.7
"309",2.7
"310",-0.9
"311",2.7
"312",2.7
"313",-0.9
"314",-2.7
"315",-2.7
"316",-0.9
"317",-0.9
"318",-2.7
"319",-2.7
"320",0.9
"321",-0.9
"322",0.9
"323",-0.9
"324",-2.7
"325",2.7
"326",0.9
"327",-0.9
"328",-2.7
"329",-0.9
"330",0.9
"331",-0.9
"332",-0.9
"333",-0.9
"334",-0.9
"335",-0.9
"336",-0.9
"337",2.7
"338",-0.9
"339",2.7
"340",-0.9
"341",2.7
"342",0.9
"343",-0.9
"344",-0.9
"345",0.9
"346",2.7
"347",0.9
"348",-0.9
"349",0.9
"350",-0.9
"351",0.9
"352",2.7
"353",-0.9
"354",-2.7
"355",0.9
"356",0.9
"357",0.9
"358",2.7
"359",0.9
"360",-2.7
"361",0.9
"362",2.7
"363",-2.7
"364",-2.7
"365",-2.7
"366",-0.9
"367",0.9
"368",-2.7
"369",2.7
"370",2.7
"371",-2.7
"372",2.7
"373",-2.7
"374",-0.9
"375",-0.9
"376",-0.9
"377",-2.7
"378",-0.9
"379",2.7
"380",-0.9
"381",2.7
"382",-2.7
"383",2.7
"384",-0.9
"385",2.7
"386",2.7
"387",0.9
"388",-0.9
"389",2.7
"390",0.9
"391",-2.7
"392",-2.7
"393",0.9
"394",0.9
"395",2.7
"396",-0.9
"397",0.9
"398",0.9
"399",-2.7
"400",0.9
"401",-2.7
"402",2.7
"403",-0.9
"404",-0.9
"405",2.7
"406",-2.7
"407",-0.9
"408",2.7
"409",-2.7
"410",-2.7
"411",0.9
"412",2.7
"413",0.9
"414",-2.7
"415",0.9
"416",0.9
"417",0.9
"418",-0.9
"419",-0.9
"420",0.9
"421",-0.9
"422",2.7
"423",0.9
"424",0.9
"425",-0.9
"426",2.7
"427",-0.9
"428",0.9
"429",2.7
"430",-2.7
"431",-0.9
"432",0.9
"433",-0.9
"434",-2.7
"435",0.9
"436",-0.9
"437",-0.9
"438",-0.9
"439",-0.9
"440",0.9
"441",0.9
"442",-0.9
"443",2.7
"444",-0.9
"445",-0.9
"446",-0.9
"447",2.7
"448",-2.7
"449",2.7
"450",0.9
"451",-2.7
"452",-0.9
"453",-0.9
"454",2.7
"455",-0.9
"456",-0.9
"457",0.9
"458",0.9
"459",0.9
"460",-2.7
"461",-0.9
"462",-0.9
"463",2.7
"464",-0.9
"465",-0.9
"466",-2.7
"467",2.7
"468",-0.9
"469",2.7
"470",-0.9
"471",2.7
"472",2.7
"473",-2.7
"474",-2.7
"475",2.7
"476",-0.9
"477",-0.9
"478",-2.7
"479",-2.7
"480",-0.9
"481",2.7
"482",2.7
"483",2.7
"484",-0.9
"485",-2.7
"486",-2.7
"487",-2.7
"488",2.7
"489",0.9
"490",2.7
"491",-0.9
"492",-0.9
"493",-2.7
"494",-0.9
"495",0.9
"496",2.7
"497",2.7
"498",2.7
"499",-2.7
"500",-0.9
"501",0.9
"502",-0.9
"503",2.7
"504",-2.7
"505",0.9
"506",0.9
"507",0.9
