train_loss,epoch,step
6.358949184417725,49,49
5.702094078063965,99,99
5.367893695831299,149,149
5.173130989074707,199,199
5.065801620483398,249,249
4.966070175170898,299,299
4.92452335357666,349,349
4.876593589782715,399,399
4.834995269775391,449,449
4.822908878326416,499,499
4.805001735687256,549,549
4.7615180015563965,599,599
4.761685371398926,649,649
4.740421295166016,699,699
4.725497722625732,749,749
4.73490571975708,799,799
4.72339391708374,849,849
4.715703964233398,899,899
4.693869590759277,949,949
4.644771575927734,999,999
4.65872859954834,1049,1049
4.654766082763672,1099,1099
